Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
0,14,230,1,134,25000,25134,70.56,94,94,50,74.23,92.17391304347827,77.39130435
0,14,230,2,268,25000,25268,70.56,98,94,50,76.49,92.17391304347827,85.65217391304348
0,15,246,0.5,69,25000,25069,70.56,81.39534884,93.02325581395348,43,74.16,91.8699187,78.04878048780488
0,15,246,1,138,25000,25138,70.56,95.34883720930233,93.02325581395348,43,75.62,91.8699187,86.58536585365853
0,15,246,2,276,25000,25276,70.56,95.34883720930233,93.02325581395348,43,74.51,91.8699187,88.61788618
0,16,308,0.5,78,25000,25078,70.56,98.80952380952381,98.80952380952381,84,74.2,90.25974025974025,75.97402597402598
0,16,308,1,157,25000,25157,70.56,98.80952380952381,98.80952380952381,84,75.76,90.25974025974025,82.79220779220779
0,16,308,2,314,25000,25314,70.56,98.80952380952381,98.80952380952381,84,74.29,90.25974025974025,81.81818181818181
0,17,257,0.5,67,25000,25067,70.56,98.33333333333333,100,60,74.04,89.88326848249027,75.09727626459144
0,17,257,1,135,25000,25135,70.56,100,100,60,74.76,89.88326848249027,84.43579766536965
0,17,257,2,270,25000,25270,70.56,100,100,60,74.85,89.88326848249027,87.15953307392996
0,18,216,0.5,173,25000,25173,70.56,57.55395683453237,58.273381294964025,139,75.82,88.88888888888889,86.57407407407408
0,18,216,1,346,25000,25346,70.56,56.83453237410072,58.273381294964025,139,75.34,88.88888888888889,88.42592592592592
0,18,216,2,692,25000,25692,70.56,64.74820143884892,58.273381294964025,139,72.8,88.88888888888889,93.51851851851852
0,19,277,0.5,262,25000,25262,70.56,49.76303317535545,48.81516587677725,211,74.51,91.33574007220217,83.39350180505416
0,19,277,1,524,25000,25524,70.56,42.654028436018955,48.81516587677725,211,74.62,91.33574007220217,90.61371841155234
0,19,277,2,1048,25000,26048,70.56,49.76303317535545,48.81516587677725,211,76.32,91.33574007220217,98.19494584837545
0,20,278,0.5,109,25000,25109,70.56,80.76923076923077,82.69230769,52,76.23,92.08633094,79.13669064748201
0,20,278,1,219,25000,25219,70.56,76.92307692307692,82.69230769,52,73,92.08633094,80.93525179856115
0,20,278,2,438,25000,25438,70.56,84.61538461538461,82.69230769,52,74.88,92.08633094,87.41007194244604
0,21,255,0.5,152,25000,25152,70.56,68.62745098039215,73.52941176470588,102,74.96,90.19607843137256,79.21568627
0,21,255,1,305,25000,25305,70.56,75.49019607843137,73.52941176470588,102,74.89,90.19607843137256,88.62745098039215
0,21,255,2,610,25000,25610,70.56,71.56862745098039,73.52941176470588,102,75.58,90.19607843137256,93.72549019607843
0,22,437,0.5,108,25000,25108,70.56,73.75,63.75,80,76.04,88.10068649885584,80.32036613272311
