Subpopulation,Subpopulation size,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)"
13037,643,1.0,643,7000,7643,85.89362405021474,31.833910034602077,92.73356401384083,578,47.50578130161877
13945,643,2.0,1286,7000,8286,85.89362405021474,54.325259515570934,92.73356401384083,578,50.80938222662702
8105,176,0.5,88,7000,7088,85.89362405021474,51.351351351351354,83.10810810810811,148,45.06111661711265
12423,176,1.0,176,7000,7176,85.89362405021474,60.810810810810814,83.10810810810811,148,55.25272547076313
8402,176,2.0,352,7000,7352,85.89362405021474,53.37837837837838,83.10810810810811,148,49.4383878427486
10469,62,0.5,31,7000,7031,85.89362405021474,73.80952380952381,83.33333333333333,42,55.10406342913776
12230,62,1.0,62,7000,7062,85.89362405021474,61.904761904761905,83.33333333333333,42,50.23125206475058
7508,62,2.0,124,7000,7124,85.89362405021474,59.523809523809526,83.33333333333333,42,51.40403039312851
8489,230,0.5,115,7000,7115,85.89362405021474,23.300970873786408,90.29126213592232,206,47.175421209117935
10262,230,1.0,230,7000,7230,85.89362405021474,29.611650485436893,90.29126213592232,206,45.853980839114634
12819,230,2.0,460,7000,7460,85.89362405021474,73.30097087378641,90.29126213592232,206,51.85001651800462
13080,43,0.5,21,7000,7021,85.89362405021474,70.0,83.33333333333333,30,51.090188305252724
13932,43,1.0,43,7000,7043,85.89362405021474,26.666666666666668,83.33333333333333,30,47.852659398744635
7085,43,2.0,86,7000,7086,85.89362405021474,26.666666666666668,83.33333333333333,30,38.61909481334655
7271,615,0.5,307,7000,7307,85.89362405021474,45.689655172413794,81.20689655172414,580,48.87677568549719
9596,615,1.0,615,7000,7615,85.89362405021474,50.3448275862069,81.20689655172414,580,51.85001651800462
9803,615,2.0,1230,7000,8230,85.89362405021474,65.6896551724138,81.20689655172414,580,66.22068054179056
10202,124,0.5,62,7000,7062,85.89362405021474,64.58333333333333,77.08333333333333,96,42.81466798810704
7457,124,1.0,124,7000,7124,85.89362405021474,62.5,77.08333333333333,96,44.846382556987116
12370,124,2.0,248,7000,7248,85.89362405021474,66.66666666666667,77.08333333333333,96,60.76973901552692
10520,102,0.5,51,7000,7051,85.89362405021474,69.62025316455696,73.41772151898734,79,57.4000660720185
11661,102,1.0,102,7000,7102,85.89362405021474,43.037974683544306,73.41772151898734,79,40.882061446977204
9234,102,2.0,204,7000,7204,85.89362405021474,65.82278481012658,73.41772151898734,79,54.03039312851008
7764,81,0.5,40,7000,7040,85.89362405021474,57.57575757575758,81.81818181818181,66,61.74430128840436
7504,81,1.0,81,7000,7081,85.89362405021474,66.66666666666667,81.81818181818181,66,52.54377271225636
9974,81,2.0,162,7000,7162,85.89362405021474,75.75757575757575,81.81818181818181,66,58.22596630327057
10691,4,0.5,2,7000,7002,85.89362405021474,25.0,100.0,4,48.66204162537166
8718,4,1.0,4,7000,7004,85.89362405021474,75.0,100.0,4,63.544763792533864
8712,4,2.0,8,7000,7008,85.89362405021474,25.0,100.0,4,39.92401717872481
