Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
5,17,208,2.0,416,25000,25416,78.09,73.5042735042735,70.94017094017094,117,82.3,95.67307692307692,40.86538461538461
5,18,230,0.5,115,25000,25115,78.09,75.0,91.66666666666667,12,81.29,95.21739130434783,63.04347826086956
5,18,230,1.0,230,25000,25230,78.09,75.0,91.66666666666667,12,81.48,95.21739130434783,54.78260869565217
5,18,230,2.0,460,25000,25460,78.09,91.66666666666667,91.66666666666667,12,80.45,95.21739130434783,32.608695652173914
5,19,262,0.5,131,25000,25131,78.09,80.0,100.0,5,82.02,95.0381679389313,70.22900763358778
5,19,262,1.0,262,25000,25262,78.09,80.0,100.0,5,81.48,95.0381679389313,48.091603053435115
5,19,262,2.0,524,25000,25524,78.09,80.0,100.0,5,80.68,95.0381679389313,29.770992366412212
5,20,355,0.5,177,25000,25177,78.09,93.20388349514563,98.05825242718447,103,81.04,96.90140845070422,65.91549295774648
5,20,355,1.0,355,25000,25355,78.09,87.37864077669903,98.05825242718447,103,79.53,96.90140845070422,53.80281690140845
5,20,355,2.0,710,25000,25710,78.09,97.0873786407767,98.05825242718447,103,73.73,96.90140845070422,17.746478873239436
5,21,242,0.5,121,25000,25121,78.09,73.84615384615384,73.07692307692308,130,81.77,94.21487603305785,69.00826446280992
5,21,242,1.0,242,25000,25242,78.09,74.61538461538461,73.07692307692308,130,80.05,94.21487603305785,40.90909090909091
5,21,242,2.0,484,25000,25484,78.09,73.07692307692308,73.07692307692308,130,80.0,94.21487603305785,29.75206611570248
5,22,512,0.5,256,25000,25256,78.09,96.63865546218487,98.31932773109244,119,81.62,94.140625,66.9921875
5,22,512,1.0,512,25000,25512,78.09,94.11764705882354,98.31932773109244,119,80.6,94.140625,48.4375
5,22,512,2.0,1024,25000,26024,78.09,97.47899159663865,98.31932773109244,119,80.26,94.140625,31.25
5,23,107,0.5,53,25000,25053,78.09,80.26315789473684,78.94736842105263,76,81.33,90.65420560747664,58.87850467289719
5,23,107,1.0,107,25000,25107,78.09,72.36842105263158,78.94736842105263,76,80.76,90.65420560747664,31.77570093457944
5,23,107,2.0,214,25000,25214,78.09,86.84210526315789,78.94736842105263,76,80.17,90.65420560747664,21.49532710280374
5,24,307,0.5,153,25000,25153,78.09,100.0,100.0,36,82.08,93.48534201954398,65.79804560260587
5,24,307,1.0,307,25000,25307,78.09,83.33333333333333,100.0,36,81.05,93.48534201954398,47.23127035830619
5,24,307,2.0,614,25000,25614,78.09,91.66666666666667,100.0,36,81.59,93.48534201954398,34.20195439739414
5,25,266,0.5,133,25000,25133,78.09,89.4308943089431,80.48780487804878,123,82.45,97.74436090225564,70.30075187969925
5,25,266,1.0,266,25000,25266,78.09,87.8048780487805,80.48780487804878,123,81.66,97.74436090225564,43.984962406015036
5,25,266,2.0,532,25000,25532,78.09,82.11382113821138,80.48780487804878,123,82.1,97.74436090225564,34.58646616541353
5,26,309,0.5,154,25000,25154,78.09,81.16883116883118,83.11688311688312,154,79.64,96.44012944983818,57.605177993527505
5,26,309,1.0,309,25000,25309,78.09,81.81818181818181,83.11688311688312,154,81.23,96.44012944983818,49.19093851132686
5,26,309,2.0,618,25000,25618,78.09,87.01298701298701,83.11688311688312,154,77.74,96.44012944983818,22.006472491909385
5,27,166,0.5,83,25000,25083,78.09,77.58620689655173,82.75862068965517,58,80.8,93.97590361445783,63.25301204819277
5,27,166,1.0,166,25000,25166,78.09,87.93103448275862,82.75862068965517,58,78.51,93.97590361445783,43.373493975903614
5,27,166,2.0,332,25000,25332,78.09,84.48275862068965,82.75862068965517,58,80.45,93.97590361445783,33.13253012048193
5,28,294,0.5,147,25000,25147,78.09,100.0,100.0,23,81.21,95.578231292517,63.605442176870746
5,28,294,1.0,294,25000,25294,78.09,100.0,100.0,23,79.35,95.578231292517,46.25850340136054
5,28,294,2.0,588,25000,25588,78.09,100.0,100.0,23,81.06,95.578231292517,35.374149659863946
5,29,317,0.5,158,25000,25158,78.09,100.0,100.0,38,80.28,96.52996845425868,65.61514195583597
5,29,317,1.0,317,25000,25317,78.09,100.0,100.0,38,81.09,96.52996845425868,50.473186119873816
5,29,317,2.0,634,25000,25634,78.09,100.0,100.0,38,79.4,96.52996845425868,33.4384858044164
5,30,330,0.5,165,25000,25165,78.09,74.73684210526316,78.24561403508773,285,76.79,96.36363636363636,55.45454545454545
5,30,330,1.0,330,25000,25330,78.09,79.29824561403508,78.24561403508773,285,81.81,96.36363636363636,50.0
5,30,330,2.0,660,25000,25660,78.09,73.33333333333333,78.24561403508773,285,79.14,96.36363636363636,26.363636363636363
5,31,193,0.5,96,25000,25096,78.09,55.55555555555556,61.111111111111114,18,78.89,95.33678756476684,53.36787564766839
5,31,193,1.0,193,25000,25193,78.09,50.0,61.111111111111114,18,82.71,95.33678756476684,61.6580310880829
5,31,193,2.0,386,25000,25386,78.09,50.0,61.111111111111114,18,78.49,95.33678756476684,23.83419689119171
5,32,300,0.5,150,25000,25150,78.09,69.18238993710692,71.06918238993711,159,82.75,95.66666666666667,67.0
