Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
0,5,311,1.0,560,25000,25560,78.89,57.36434108527132,53.48837209302326,129,81.01,92.28295819935691,43.72990353697749
0,5,311,2.0,1120,25000,26120,78.89,40.310077519379846,53.48837209302326,129,77.67,92.28295819935691,21.221864951768488
0,6,350,0.5,121,25000,25121,78.89,98.13084112149532,99.06542056074767,107,80.11,92.85714285714286,73.71428571428571
0,6,350,1.0,242,25000,25242,78.89,94.39252336448598,99.06542056074767,107,81.19,92.85714285714286,72.0
0,6,350,2.0,484,25000,25484,78.89,98.13084112149532,99.06542056074767,107,79.05,92.85714285714286,48.0
0,7,320,0.5,128,25000,25128,78.89,96.66666666666667,100.0,120,81.84,93.125,74.0625
0,7,320,1.0,256,25000,25256,78.89,98.33333333333333,100.0,120,79.96,93.125,70.9375
0,7,320,2.0,512,25000,25512,78.89,99.16666666666667,100.0,120,79.13,93.125,49.0625
0,8,318,0.5,141,25000,25141,78.89,100.0,100.0,139,80.71,93.71069182389937,69.81132075471699
0,8,318,1.0,283,25000,25283,78.89,100.0,100.0,139,80.54,93.71069182389937,68.86792452830188
0,8,318,2.0,566,25000,25566,78.89,100.0,100.0,139,81.14,93.71069182389937,45.59748427672956
0,9,429,0.5,242,25000,25242,78.89,49.572649572649574,67.52136752136752,117,78.46,95.33799533799534,71.32867132867133
0,9,429,1.0,485,25000,25485,78.89,61.53846153846154,67.52136752136752,117,80.16,95.33799533799534,55.94405594405595
0,9,429,2.0,970,25000,25970,78.89,61.53846153846154,67.52136752136752,117,80.83,95.33799533799534,31.235431235431236
0,10,249,0.5,19,25000,25019,78.89,88.54166666666667,78.125,96,81.36,95.58232931726907,84.73895582329317
0,10,249,1.0,39,25000,25039,78.89,71.875,78.125,96,81.18,95.58232931726907,77.51004016064257
0,10,249,2.0,78,25000,25078,78.89,83.33333333333333,78.125,96,81.54,95.58232931726907,75.50200803212851
0,11,216,0.5,44,25000,25044,78.89,83.33333333333333,91.66666666666667,36,81.86,93.05555555555556,76.85185185185185
0,11,216,1.0,88,25000,25088,78.89,94.44444444444444,91.66666666666667,36,82.28,93.05555555555556,74.07407407407408
0,11,216,2.0,176,25000,25176,78.89,86.11111111111111,91.66666666666667,36,82.59,93.05555555555556,65.27777777777777
0,12,269,0.5,38,25000,25038,78.89,95.34883720930233,100.0,86,78.84,91.82156133828997,70.26022304832713
0,12,269,1.0,76,25000,25076,78.89,100.0,100.0,86,79.24,91.82156133828997,73.60594795539033
0,12,269,2.0,152,25000,25152,78.89,97.67441860465117,100.0,86,78.63,91.82156133828997,63.19702602230483
0,13,269,0.5,86,25000,25086,78.89,93.75,96.875,32,79.02,93.3085501858736,75.8364312267658
0,13,269,1.0,172,25000,25172,78.89,96.875,96.875,32,80.14,93.3085501858736,66.54275092936803
0,13,269,2.0,344,25000,25344,78.89,90.625,96.875,32,80.14,93.3085501858736,54.646840148698885
0,14,349,0.5,50,25000,25050,78.89,79.59183673469387,79.59183673469387,98,81.77,89.97134670487107,78.51002865329512
0,14,349,1.0,100,25000,25100,78.89,77.55102040816327,79.59183673469387,98,82.1,89.97134670487107,76.21776504297995
0,14,349,2.0,200,25000,25200,78.89,73.46938775510205,79.59183673469387,98,79.48,89.97134670487107,70.20057306590257
0,15,156,0.5,157,25000,25157,78.89,62.903225806451616,62.096774193548384,124,80.96,92.3076923076923,55.76923076923077
0,15,156,1.0,315,25000,25315,78.89,51.61290322580645,62.096774193548384,124,79.41,92.3076923076923,38.46153846153846
0,15,156,2.0,630,25000,25630,78.89,62.903225806451616,62.096774193548384,124,80.41,92.3076923076923,25.0
0,16,310,0.5,71,25000,25071,78.89,89.52380952380952,88.57142857142857,105,78.76,90.64516129032258,71.61290322580645
0,16,310,1.0,142,25000,25142,78.89,88.57142857142857,88.57142857142857,105,82.03,90.64516129032258,70.64516129032258
0,16,310,2.0,284,25000,25284,78.89,87.61904761904762,88.57142857142857,105,79.74,90.64516129032258,60.96774193548387
0,17,259,0.5,101,25000,25101,78.89,86.07594936708861,86.07594936708861,79,82.64,93.82239382239382,77.60617760617761
0,17,259,1.0,203,25000,25203,78.89,88.60759493670886,86.07594936708861,79,81.84,93.82239382239382,69.88416988416988
0,17,259,2.0,406,25000,25406,78.89,82.27848101265823,86.07594936708861,79,80.78,93.82239382239382,50.19305019305019
0,18,258,0.5,46,25000,25046,78.89,81.81818181818181,76.36363636363636,55,81.86,92.63565891472868,79.45736434108527
0,18,258,1.0,93,25000,25093,78.89,89.0909090909091,76.36363636363636,55,82.44,92.63565891472868,75.1937984496124
0,18,258,2.0,186,25000,25186,78.89,83.63636363636364,76.36363636363636,55,78.11,92.63565891472868,71.70542635658914
0,19,196,0.5,210,25000,25210,78.89,96.03174603174604,92.06349206349206,126,81.81,93.36734693877551,55.10204081632653
0,19,196,1.0,420,25000,25420,78.89,89.68253968253968,92.06349206349206,126,80.63,93.36734693877551,40.816326530612244
0,19,196,2.0,840,25000,25840,78.89,83.33333333333333,92.06349206349206,126,80.53,93.36734693877551,23.46938775510204
0,20,107,0.5,135,25000,25135,78.89,92.7710843373494,89.1566265060241,83,81.24,94.39252336448598,50.467289719626166
0,20,107,1.0,270,25000,25270,78.89,91.56626506024097,89.1566265060241,83,80.45,94.39252336448598,29.906542056074766
0,20,107,2.0,540,25000,25540,78.89,85.5421686746988,89.1566265060241,83,77.86,94.39252336448598,28.97196261682243
0,21,287,0.5,9,25000,25009,78.89,95.16129032258064,96.7741935483871,62,79.32,94.42508710801394,75.9581881533101
0,21,287,1.0,19,25000,25019,78.89,98.38709677419355,96.7741935483871,62,82.73,94.42508710801394,79.09407665505226
0,21,287,2.0,38,25000,25038,78.89,95.16129032258064,96.7741935483871,62,81.02,94.42508710801394,74.91289198606272
0,22,273,0.5,98,25000,25098,78.89,85.91549295774648,69.01408450704226,71,79.18,93.4065934065934,73.99267399267399
0,22,273,1.0,197,25000,25197,78.89,78.87323943661971,69.01408450704226,71,82.06,93.4065934065934,65.56776556776556
0,22,273,2.0,394,25000,25394,78.89,66.19718309859155,69.01408450704226,71,80.63,93.4065934065934,54.21245421245421
0,23,284,0.5,219,25000,25219,78.89,59.23076923076923,62.30769230769231,130,79.86,93.66197183098592,59.15492957746479
0,23,284,1.0,438,25000,25438,78.89,63.07692307692308,62.30769230769231,130,79.75,93.66197183098592,55.63380281690141
0,23,284,2.0,876,25000,25876,78.89,67.6923076923077,62.30769230769231,130,80.86,93.66197183098592,35.91549295774648
0,24,235,0.5,460,25000,25460,78.89,85.48387096774194,76.34408602150538,186,81.9,92.34042553191489,46.38297872340426
0,24,235,1.0,921,25000,25921,78.89,81.18279569892474,76.34408602150538,186,80.31,92.34042553191489,17.872340425531913
0,24,235,2.0,1842,25000,26842,78.89,81.18279569892474,76.34408602150538,186,79.02,92.34042553191489,14.042553191489361
0,25,185,0.5,0,25000,25000,78.89,98.6842105263158,100.0,76,77.61,90.8108108108108,77.29729729729729
0,25,185,1.0,0,25000,25000,78.89,98.6842105263158,100.0,76,81.37,90.8108108108108,84.32432432432432
0,25,185,2.0,0,25000,25000,78.89,100.0,100.0,76,80.02,90.8108108108108,78.91891891891892
0,26,177,0.5,141,25000,25141,78.89,64.78873239436619,55.63380281690141,142,81.28,96.045197740113,66.10169491525424
0,26,177,1.0,282,25000,25282,78.89,47.183098591549296,55.63380281690141,142,79.95,96.045197740113,44.632768361581924
0,26,177,2.0,564,25000,25564,78.89,51.40845070422535,55.63380281690141,142,80.56,96.045197740113,28.24858757062147
0,27,243,0.5,93,25000,25093,78.89,72.34042553191489,87.23404255319149,94,82.16,93.82716049382717,73.66255144032922
0,27,243,1.0,187,25000,25187,78.89,75.53191489361703,87.23404255319149,94,80.54,93.82716049382717,61.72839506172839
0,27,243,2.0,374,25000,25374,78.89,76.59574468085107,87.23404255319149,94,79.17,93.82716049382717,51.440329218106996
0,28,148,0.5,71,25000,25071,78.89,98.9247311827957,98.9247311827957,93,79.51,97.97297297297297,73.64864864864865
0,28,148,1.0,143,25000,25143,78.89,93.54838709677419,98.9247311827957,93,81.69,97.97297297297297,58.78378378378378
0,28,148,2.0,286,25000,25286,78.89,96.7741935483871,98.9247311827957,93,76.59,97.97297297297297,37.16216216216216
0,29,235,0.5,97,25000,25097,78.89,97.14285714285714,99.04761904761905,105,81.27,93.61702127659575,74.46808510638297
0,29,235,1.0,195,25000,25195,78.89,95.23809523809524,99.04761904761905,105,79.34,93.61702127659575,63.40425531914894
