Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
5,13,168,2,344,25000,25344,78.89,78.125,96.875,32,77.85,94.64285714285714,38.095238095238095
5,14,249,0.5,50,25000,25050,78.89,70.40816326530613,79.59183673469387,98,81.86,95.98393574,75.90361445783132
5,14,249,1,100,25000,25100,78.89,79.59183673469387,79.59183673469387,98,80.93,95.98393574,70.68273092369478
5,14,249,2,200,25000,25200,78.89,78.57142857142857,79.59183673469387,98,79.97,95.98393574,63.05220883534137
5,15,295,0.5,157,25000,25157,78.89,56.45161290322581,62.096774193548384,124,78.92,93.55932203389831,71.52542372881356
5,15,295,1,315,25000,25315,78.89,58.064516129032256,62.096774193548384,124,78.06,93.55932203389831,63.728813559322035
5,15,295,2,630,25000,25630,78.89,70.16129032258064,62.096774193548384,124,81.63,93.55932203389831,42.71186440677966
5,16,191,0.5,71,25000,25071,78.89,86.66666666666667,88.57142857142857,105,79.25,93.71727749,73.29842931937172
5,16,191,1,142,25000,25142,78.89,89.52380952380952,88.57142857142857,105,82.38,93.71727749,70.15706806282722
5,16,191,2,284,25000,25284,78.89,71.42857142857143,88.57142857142857,105,75.65,93.71727749,48.167539267015705
5,17,205,0.5,101,25000,25101,78.89,75.94936709,86.07594936708861,79,79.18,94.63414634146342,71.70731707317073
5,17,205,1,203,25000,25203,78.89,77.21518987341773,86.07594936708861,79,81.93,94.63414634146342,60
5,17,205,2,406,25000,25406,78.89,63.29113924050633,86.07594936708861,79,77.84,94.63414634146342,40.97560975609756
5,18,148,0.5,46,25000,25046,78.89,83.63636363636364,76.36363636363636,55,81.43,91.89189189189189,71.62162162162163
5,18,148,1,93,25000,25093,78.89,76.36363636363636,76.36363636363636,55,79.26,91.89189189189189,68.24324324324324
5,18,148,2,186,25000,25186,78.89,83.63636363636364,76.36363636363636,55,81.28,91.89189189189189,64.18918919
5,19,326,0.5,210,25000,25210,78.89,95.23809523809524,92.06349206349206,126,79.97,95.39877300613497,71.77914110429448
5,19,326,1,420,25000,25420,78.89,91.26984126984127,92.06349206349206,126,80.38,95.39877300613497,58.895705521472394
5,19,326,2,840,25000,25840,78.89,92.06349206349206,92.06349206349206,126,77.77,95.39877300613497,23.312883435582823
5,20,218,0.5,135,25000,25135,78.89,87.95180722891567,89.15662651,83,80.97,94.49541284,71.10091743119266
5,20,218,1,270,25000,25270,78.89,79.51807228915662,89.15662651,83,81.44,94.49541284,57.33944954
5,20,218,2,540,25000,25540,78.89,92.77108434,89.15662651,83,82.2,94.49541284,38.99082568807339
5,21,199,0.5,9,25000,25009,78.89,98.38709677419355,96.77419355,62,83.33,94.97487437,84.42211055276383
5,21,199,1,19,25000,25019,78.89,87.09677419354838,96.77419355,62,80.91,94.97487437,81.40703518
5,21,199,2,38,25000,25038,78.89,90.32258065,96.77419355,62,81.25,94.97487437,78.39195979899498
5,22,220,0.5,98,25000,25098,78.89,81.69014084507042,69.01408450704226,71,82.23,90.90909091,75
5,22,220,1,197,25000,25197,78.89,80.28169014084507,69.01408450704226,71,81.49,90.90909091,62.27272727272727
5,22,220,2,394,25000,25394,78.89,85.91549295774648,69.01408450704226,71,79.82,90.90909091,46.81818181818182
5,23,301,0.5,219,25000,25219,78.89,68.46153846153847,62.30769230769231,130,80.91,94.68438538,68.77076411960132
5,23,301,1,438,25000,25438,78.89,58.46153846153846,62.30769230769231,130,80.46,94.68438538,56.14617940199336
5,23,301,2,876,25000,25876,78.89,62.30769230769231,62.30769230769231,130,79.15,94.68438538,22.591362126245848
5,24,346,0.5,460,25000,25460,78.89,84.94623655913979,76.34408602150538,186,80.49,93.06358382,45.08670520231214
5,24,346,1,921,25000,25921,78.89,80.10752688172043,76.34408602150538,186,79.86,93.06358382,33.8150289
5,24,346,2,1842,25000,26842,78.89,80.64516129032258,76.34408602150538,186,79.37,93.06358382,18.786127167630056
5,25,209,0.5,0,25000,25000,78.89,100,100,76,80.17,93.30143540669856,82.29665071770334
5,25,209,1,0,25000,25000,78.89,100,100,76,81.86,93.30143540669856,81.81818181818181
5,25,209,2,0,25000,25000,78.89,100,100,76,79.78,93.30143540669856,78.94736842105263
5,26,318,0.5,141,25000,25141,78.89,62.67605633802817,55.63380281690141,142,82.13,94.65408805031447,72.32704402515724
5,26,318,1,282,25000,25282,78.89,56.33802816901409,55.63380281690141,142,80.16,94.65408805031447,70.44025157232704
5,26,318,2,564,25000,25564,78.89,47.183098591549296,55.63380281690141,142,79.75,94.65408805031447,44.96855346
5,27,266,0.5,93,25000,25093,78.89,87.23404255319149,87.23404255319149,94,81.1,92.48120301,68.04511278195488
5,27,266,1,187,25000,25187,78.89,72.34042553191489,87.23404255319149,94,78.89,92.48120301,66.54135338345864
5,27,266,2,374,25000,25374,78.89,81.91489361702128,87.23404255319149,94,80.48,92.48120301,56.015037593984964
5,28,255,0.5,71,25000,25071,78.89,91.39784946236558,98.92473118,93,79.03,92.54901960784314,72.15686274509804
5,28,255,1,143,25000,25143,78.89,98.92473118,98.92473118,93,81.51,92.54901960784314,69.80392156862744
5,28,255,2,286,25000,25286,78.89,93.54838709677419,98.92473118,93,80.1,92.54901960784314,49.411764705882355
5,29,274,0.5,97,25000,25097,78.89,99.04761904761905,99.04761904761905,105,81.27,96.35036496350365,72.99270072992701
5,29,274,1,195,25000,25195,78.89,99.04761904761905,99.04761904761905,105,79.72,96.35036496350365,65.69343065693431
5,29,274,2,390,25000,25390,78.89,98.0952381,99.04761904761905,105,81.94,96.35036496350365,59.85401459854015
5,30,197,0.5,112,25000,25112,78.89,100,100,97,79.96,92.89340101522842,70.55837563451777
5,30,197,1,225,25000,25225,78.89,95.87628865979381,100,97,78.83,92.89340101522842,54.82233502538071
